First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eight
310.51799095173624,320.47619130968184,316.4067660520556,317.5390729161191,334.7419220365616,346.00350607288686,387.94242117124685,370.7323024312388
320.47619130968184,316.4067660520556,317.5390729161191,334.7419220365616,346.00350607288686,387.94242117124685,370.7323024312388,386.24744771780877
316.4067660520556,317.5390729161191,334.7419220365616,346.00350607288686,387.94242117124685,370.7323024312388,386.24744771780877,389.3830083498991
317.5390729161191,334.7419220365616,346.00350607288686,387.94242117124685,370.7323024312388,386.24744771780877,389.3830083498991,400.18436250317995
334.7419220365616,346.00350607288686,387.94242117124685,370.7323024312388,386.24744771780877,389.3830083498991,400.18436250317995,394.5417454611831
346.00350607288686,387.94242117124685,370.7323024312388,386.24744771780877,389.3830083498991,400.18436250317995,394.5417454611831,379.1351558498163
387.94242117124685,370.7323024312388,386.24744771780877,389.3830083498991,400.18436250317995,394.5417454611831,379.1351558498163,391.47843864211467
370.7323024312388,386.24744771780877,389.3830083498991,400.18436250317995,394.5417454611831,379.1351558498163,391.47843864211467,389.62293111291143
386.24744771780877,389.3830083498991,400.18436250317995,394.5417454611831,379.1351558498163,391.47843864211467,389.62293111291143,395.20991365718925
389.3830083498991,400.18436250317995,394.5417454611831,379.1351558498163,391.47843864211467,389.62293111291143,395.20991365718925,379.17476395275435
400.18436250317995,394.5417454611831,379.1351558498163,391.47843864211467,389.62293111291143,395.20991365718925,379.17476395275435,387.50053082397886
